asset,tf,family,donchian,ma_len,atr_k_entry,atr_k_trail,scale_in_layers,scale_in_gap_atr,partial_tp_r,partial_tp_frac,Sharpe,Sortino,Calmar,MaxDD,ProfitFactor,Ulcer,rsi_len,rsi_low_high,bb_len,bb_dev,mean_exit,max_layers,adx_len,adx_thr,vol_z_thr,hysteresis,z_Sharpe,z_Sortino,z_Calmar,z_ProfitFactor,z_MaxDD,z_Ulcer,score
EURJPY,1h,V3_MR,,,,,,,,,1.9977037438259497,2.7819127894500957,1.823792302935385,0.05128247239106934,1.9064963626699152,7.602766366036608,7.0,"[20, 80]",20.0,2.0,midband,1.0,,,,,1.7273218618947923,2.4758889855019266,2.140745846661274,0.03862825699101955,-1.6030003879683523,-0.8253193415905524,1.5456840879922007
USDCAD,1h,V3_MR,,,,,,,,,1.9808285502556062,2.4982344671788765,1.8966173643412718,0.0826811318747317,2.213764607328193,5.723994095431049,7.0,"[25, 75]",20.0,2.5,midband,1.0,,,,,1.6497978999851775,1.5521149914047305,2.4098884400227565,0.9189703024215067,-0.5395018058788323,-1.483335912582697,1.511859096918314
USDJPY,4h,V3_MR,,,,,,,,,1.9292597366160233,2.569286698436984,1.9269057171563437,0.0549497092114843,2.285937445117256,8.740258024196917,14.0,"[25, 75]",20.0,2.5,midband,0.0,,,,,1.4128928400429421,1.783490455463159,2.521826359029263,1.1257498338189271,-1.4787880418735413,-0.4269270658766015,1.4997440020367463
